hkjc_team_id,hkjc_name_en,hkjc_event_id,reason,near_count,source_errors,fetched_at
50002004,Malawi,FB5761,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002890,South Sudan,FB5761,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002225,Netherlands U21,FB5724,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002297,Norway U21,FB5724,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50429168,Independiente Women,FB5786,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50429165,Ferro Carril Oeste Women,FB5786,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50003022,Switzerland U21,FB5756,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001973,Luxembourg U21,FB5756,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001424,Girona,FB5708,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000121,Albacete,FB5708,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001655,Italy,FB5710,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000438,Belgium,FB5710,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002150,Montenegro,FB5711,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000915,Cyprus,FB5711,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50003010,Sweden,FB5712,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002649,Romania,FB5712,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002470,Poland,FB5713,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000498,Bosnia-Herzegovina,FB5713,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001573,Hungary,FB5714,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50003185,Ukraine,FB5714,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50003142,Turkiye,FB5717,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001268,France,FB5717,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001004,Dordrecht,FB5709,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
