fetched_at_hkt,hkjc_event_id,home,away,model_league,model_home_name,model_away_name,dc_prob_home,dc_prob_draw,dc_prob_away,dc_xg_home,dc_xg_away,dc_prob_over25,pi_prob_home,pi_prob_draw,pi_prob_away,pi_home_rating,pi_away_rating,pi_diff,training_matches,team_match_quality,quality,model_source
2026-09-22T00:22:41+08:00,FB5626,Chesterfield,Port Vale,HKJC connected history (ELT),Chesterfield,Port Vale,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5627,Cheltenham,Exeter City,HKJC connected history (ELT),Cheltenham,Exeter City,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5628,Juventus Women,Benfica Women,HKJC UCLW,Juventus Women,Benfica Women,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5629,Real Madrid Women,Paris Saint Germain Women,HKJC UCLW,Real Madrid Women,Paris Saint Germain Women,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5630,York City,Rotherham,HKJC connected history (ELT),York City,Rotherham,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5631,Al Orooba,Dubai City FC,HKJC UPP,Al Orooba,Dubai City FC,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5632,Curico Unido,Deportes Concepcion,HKJC CHC,Curico Unido,Deportes Concepcion,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5633,Iquique,Antofagasta,HKJC CHC,Iquique,Antofagasta,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5634,Union La Calera,Universidad Catolica,HKJC connected history (CHC),Union La Calera,Universidad Catolica,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5635,O'Higgins,Deportes Santa Cruz,HKJC connected history (CHC),O'Higgins,Deportes Santa Cruz,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5636,Everton VM,Universidad Chile,HKJC CHC,Everton VM,Universidad Chile,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
