fetched_at_hkt,hkjc_event_id,kickoff_hkt,tournament,home_en,away_en,home_rating,away_rating,home_opta_name,away_opta_name,home_match_confidence,away_match_confidence,home_rank,away_rank,coverage,source,power_updated
2026-09-22T01:10:45+00:00,FB5442,2026-09-22T06:27+08:00,UD1,Central Espanol,Montevideo City Torque,75.1264,,Central EspaÃ±ol,,1.000,,662,,HOME_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5572,2026-09-22T06:28+08:00,BD2,Criciuma,Operario Ferroviario,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5617,2026-09-22T07:00+08:00,MXLW,Club Leon Women,Juarez Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5618,2026-09-22T08:00+08:00,MXLW,Toluca Women,Tigres UANL Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5507,2026-09-22T08:13+08:00,APL,Lanus,Estudiantes,,83.7136,,Estudiantes,,1.000,,119,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5573,2026-09-22T08:28+08:00,BD2,Cuiaba,Nautico Recife,72.6268,,CuiabÃ¡,,1.000,,953,,HOME_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5583,2026-09-22T08:30+08:00,BD1W,Corinthians Women,Bahia Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5619,2026-09-22T09:06+08:00,MXLW,Santos Laguna Women,Cruz Azul Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5575,2026-09-22T13:00+08:00,AMF,Vietnam AM,Uzbekistan AM,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5576,2026-09-22T13:00+08:00,AMF,Philippines AM,Kuwait AM,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5577,2026-09-22T18:00+08:00,AMF,Korea Republic AM,Saudi Arabia AM,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5631,2026-09-22T22:40+08:00,UPP,Al Orooba,Dubai City FC,59.8511,48.1449,Al Orooba,Dubai City,1.000,1.000,3724,8494,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5605,2026-09-23T00:45+08:00,UCLW,Inter Milan Women,Hacken Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5606,2026-09-23T00:45+08:00,UCLW,Bayern Munich Women,Manchester City Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5588,2026-09-23T02:00+08:00,ELT,Swindon,Newport County,,64.6596,,Newport County,,1.000,,2343,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5589,2026-09-23T02:00+08:00,ELT,Milton Keynes Dons,Crawley Town,,64.9564,,Crawley Town,,1.000,,2279,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5590,2026-09-23T02:00+08:00,ELT,Notts County,Grimsby,72.8142,,Notts County,,1.000,,929,,HOME_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5591,2026-09-23T02:00+08:00,ELT,Wigan,Blackpool,,73.5450,,Blackpool,,1.000,,837,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5620,2026-09-23T02:00+08:00,ELT,Salford City,Sheff Wednesday,69.5762,,Salford City,,1.000,,1361,,HOME_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5621,2026-09-23T02:00+08:00,ELT,Oldham,Fleetwood,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5622,2026-09-23T02:00+08:00,ELT,Peterborough,Colchester,23.6850,,FC Peterborough,,1.000,,14163,,HOME_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5623,2026-09-23T02:00+08:00,ELT,Tranmere,Shrewsbury,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5624,2026-09-23T02:00+08:00,ELT,Walsall,Stevenage,68.8490,74.9750,Walsall,Stevenage,1.000,1.000,1478,682,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5625,2026-09-23T02:00+08:00,ELT,Gillingham,Cambridge Utd,66.3180,,Gillingham,,1.000,,1971,,HOME_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5626,2026-09-23T02:00+08:00,ELT,Chesterfield,Port Vale,70.7478,69.9247,Chesterfield,Port Vale,1.000,1.000,1208,1319,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5627,2026-09-23T02:00+08:00,ELT,Cheltenham,Exeter City,,69.9566,,Exeter City,,1.000,,1311,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5630,2026-09-23T02:00+08:00,ELT,York City,Rotherham,67.8094,,York City,,1.000,,1662,,HOME_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5628,2026-09-23T03:00+08:00,UCLW,Juventus Women,Benfica Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5629,2026-09-23T03:00+08:00,UCLW,Real Madrid Women,Paris Saint Germain Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5608,2026-09-23T04:57+08:00,CHC,Puerto Montt,Deportivo Nublense,70.0087,,Puerto Montt,,1.000,,1305,,HOME_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5607,2026-09-23T07:27+08:00,CHC,Cobreloa,Coquimbo Unido,74.7093,79.3533,Cobreloa,Coquimbo Unido,1.000,1.000,708,329,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5609,2026-09-23T07:27+08:00,CHC,Audax Italiano,Colo Colo,77.2087,82.0078,Audax Italiano,Colo Colo,1.000,1.000,472,182,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5602,2026-09-23T13:30+08:00,AMF,China AM,United Arab Emirates AM,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5603,2026-09-23T13:30+08:00,AMF,Iran AM,Korea DPR AM,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5610,2026-09-23T16:00+08:00,JEC,Gamba Osaka,Tokushima Vortis,75.4696,66.4396,Gamba Osaka,Tokushima Vortis,1.000,1.000,636,1940,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5611,2026-09-23T16:00+08:00,JEC,Kyoto Sanga,Fujieda MYFC,74.5169,65.1808,Kyoto Sanga,Fujieda MYFC,1.000,1.000,728,2224,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5612,2026-09-23T16:00+08:00,JEC,Kashiwa Reysol,FC Imabari,78.3974,63.7738,Kashiwa Reysol,Imabari,1.000,1.000,384,2577,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5613,2026-09-23T16:00+08:00,JEC,Vissel Kobe,Sagan Tosu,80.1111,67.4686,Vissel Kobe,Sagan Tosu,1.000,1.000,281,1737,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5614,2026-09-23T16:00+08:00,JEC,Kashima Antlers,Ventforet Kofu,79.9697,64.1043,Kashima Antlers,Ventforet Kofu,1.000,1.000,287,2490,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5615,2026-09-23T16:00+08:00,JEC,Machida Zelvia,Tochigi City,81.1556,66.4340,Machida Zelvia,Tochigi City,1.000,1.000,227,1941,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5604,2026-09-23T18:30+08:00,AMF,Japan AM,Thailand AM,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5584,2026-09-23T21:00+08:00,UWW,Italy Women U20,Spain Women U20,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5638,2026-09-24T00:30+08:00,UWW,Korea DPR Women U20,Colombia Women U20,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5637,2026-09-24T00:45+08:00,UCLW,OH Leuven Women,Roma Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5632,2026-09-24T04:57+08:00,CHC,Curico Unido,Deportes Concepcion,,76.9346,,Deportes ConcepciÃ³n,,0.923,,504,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5633,2026-09-24T07:27+08:00,CHC,Iquique,Antofagasta,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5634,2026-09-24T07:27+08:00,CHC,Union La Calera,Universidad Catolica,74.2187,82.5647,UniÃ³n La Calera,Universidad CatÃ³lica,0.903,0.927,755,153,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5616,2026-09-25T02:00+08:00,E2Q,Belgium U21,Belarus U21,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5592,2026-09-25T02:45+08:00,ENL,Liechtenstein,Lithuania,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5593,2026-09-25T02:45+08:00,ENL,Portugal,Wales,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5594,2026-09-25T02:45+08:00,ENL,Norway,Denmark,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5595,2026-09-25T02:45+08:00,ENL,Serbia,Greece,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5596,2026-09-25T02:45+08:00,ENL,Netherlands,Germany,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5597,2026-09-25T02:45+08:00,ENL,Kosovo,Republic of Ireland,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5598,2026-09-25T02:45+08:00,ENL,Austria,Israel,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5635,2026-09-25T04:57+08:00,CHC,O'Higgins,Deportes Santa Cruz,77.8605,69.0149,O'Higgins,Deportes Santa Cruz,1.000,1.000,423,1448,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5636,2026-09-25T07:27+08:00,CHC,Everton VM,Universidad Chile,,81.3871,,Universidad de Chile,,1.000,,214,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
