hkjc_team_id,hkjc_name_en,cohort,hkjc_event_id,reason,candidate_count,best_score,best_external_name,best_external_team_id,kickoff_delta_seconds,fetched_at
50001808,Korea Republic,SENIOR,FB5660,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50001042,Ecuador,SENIOR,FB5660,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50000760,China,SENIOR,FB5661,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50002009,Maldives,SENIOR,FB5661,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50000439,Belgium U21,U21,FB5616,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50000432,Belarus U21,U21,FB5616,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50001909,Liechtenstein,SENIOR,FB5592,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50001926,Lithuania,SENIOR,FB5592,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50002502,Portugal,SENIOR,FB5593,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50003347,Wales,SENIOR,FB5593,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50002295,Norway,SENIOR,FB5594,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50000950,Denmark,SENIOR,FB5594,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50002798,Serbia,SENIOR,FB5595,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50001451,Greece,SENIOR,FB5595,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50002222,Netherlands,SENIOR,FB5596,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50001357,Germany,SENIOR,FB5596,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50001834,Kosovo,SENIOR,FB5597,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50002623,Republic of Ireland,SENIOR,FB5597,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50000320,Austria,SENIOR,FB5598,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50001650,Israel,SENIOR,FB5598,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50002311,O'Higgins,SENIOR,FB5635,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50288881,Deportes Santa Cruz,SENIOR,FB5635,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50001139,Everton VM,SENIOR,FB5636,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50003212,Universidad Chile,SENIOR,FB5636,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50002123,Mineros Zacatecas,SENIOR,FB5673,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50601674,Piratas FC,SENIOR,FB5673,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50002315,Oaxaca,SENIOR,FB5674,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50334216,Atletico La Paz,SENIOR,FB5674,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50001806,Korea DPR Women,WOMEN,FB5666,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50000768,Chinese Taipei Women,WOMEN,FB5666,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50000765,China Women,WOMEN,FB5667,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50003314,Vietnam Women,WOMEN,FB5667,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
