source_name,source_key,team_key,hkjc_name_en,hkjc_name_zh,confidence,event_count
São Bernardo,sãobernardo,HKJC:saobernardo,Sao Bernardo,聖貝拿度,0.99,1
Scotland,scotland,HKJC:scotland,Scotland,蘇格蘭,0.99,1
Senegal,senegal,HKJC:senegal,Senegal,塞內加爾,0.99,1
Serbia,serbia,HKJC:serbia,Serbia,塞爾維亞,0.99,1
Shonan Bellmare,shonanbellmare,HKJC:shonanbellmare,Shonan Bellmare,湘南比馬,0.99,1
Singapore,singapore,HKJC:singapore,Singapore,新加坡,0.99,1
Slovakia,slovakia,HKJC:slovakia,Slovakia,斯洛伐克,0.99,1
Slovenia,slovenia,HKJC:slovenia,Slovenia,斯洛文尼亞,0.99,1
South Sudan,southsudan,HKJC:southsudan,South Sudan,南蘇丹,0.99,1
Spain,spain,HKJC:spain,Spain,西班牙,0.99,1
Spain U21,spainu21,HKJC:spainu21,Spain U21,西班牙U21,0.99,1
Sweden,sweden,HKJC:sweden,Sweden,瑞典,0.99,1
Switzerland,switzerland,HKJC:switzerland,Switzerland,瑞士,0.99,1
Switzerland U21,switzerlandu21,HKJC:switzerlandu21,Switzerland U21,瑞士U21,0.99,1
Tanzania,tanzania,HKJC:tanzania,Tanzania,坦桑尼亞,0.99,1
Tegevajaro Miyazaki,tegevajaromiyazaki,HKJC:tegevajaromiyazaki,Tegevajaro Miyazaki,宮崎棒牛鳥,0.99,1
Tenerife,tenerife,HKJC:tenerife,Tenerife,特內里費,0.99,1
Tijuana,tijuana,HKJC:tijuana,Tijuana,迪祖亞拿,0.99,1
Trinidad and Tobago,trinidadandtobago,HKJC:trinidadandtobago,Trinidad and Tobago,千里達,0.99,1
Tunisia,tunisia,HKJC:tunisia,Tunisia,突尼西亞,0.99,1
Turkiye,turkiye,HKJC:turkiye,Turkiye,土耳其,0.99,1
Turkiye U21,turkiyeu21,HKJC:turkiyeu21,Turkiye U21,土耳其U21,0.99,1
Uganda,uganda,HKJC:uganda,Uganda,烏干達,0.99,1
Ukraine,ukraine,HKJC:ukraine,Ukraine,烏克蘭,0.99,1
Ukraine U21,ukraineu21,HKJC:ukraineu21,Ukraine U21,烏克蘭U21,0.99,1
Uruguay,uruguay,HKJC:uruguay,Uruguay,烏拉圭,0.98,1
Uzbekistan,uzbekistan,HKJC:uzbekistan,Uzbekistan,烏茲別克,0.99,1
Vanraure Hachinohe,vanraurehachinohe,HKJC:vanraurehachinohe,Vanraure Hachinohe,八戶雲羅里,0.99,1
Vegalta Sendai,vegaltasendai,HKJC:vegaltasendai,Vegalta Sendai,仙台維加泰,0.99,1
Ventforet Kofu,ventforetkofu,HKJC:ventforetkofu,Ventforet Kofu,甲府風林,0.99,1
Vila Nova,vilanova,HKJC:vilanova,Vila Nova,維拉諾瓦,0.99,1
Vitesse,vitesse,HKJC:vitesse,Vitesse,維迪斯,0.99,1
Wales,wales,HKJC:wales,Wales,威爾斯,0.99,1
York City,yorkcity,HKJC:yorkcity,York City,約克城,0.99,1
Zambia,zambia,HKJC:zambia,Zambia,贊比亞,0.99,1
