hkjc_team_id,hkjc_name_en,hkjc_event_id,reason,search_status,candidate_count,best_candidate,fetched_at
50003347,Wales,FB5593,COHORT_MISMATCH,NOT_RUN,0,"[900.0, 0.14285714285714285, 0.2, ""U21"", ""Kosovo U21"", ""San Marino U21""]",2026-09-22T21:31:00.964124+00:00
50002295,Norway,FB5594,COHORT_MISMATCH,NOT_RUN,0,"[900.0, 0.2222222222222222, 0.125, ""U21"", ""San Marino U21"", ""Kosovo U21""]",2026-09-22T21:31:00.964124+00:00
50000950,Denmark,FB5594,COHORT_MISMATCH,NOT_RUN,0,"[900.0, 0.125, 0.2222222222222222, ""U21"", ""Kosovo U21"", ""San Marino U21""]",2026-09-22T21:31:00.964124+00:00
50002798,Serbia,FB5595,COHORT_MISMATCH,NOT_RUN,0,"[900.0, 0.3333333333333333, 0.0, ""U21"", ""San Marino U21"", ""Kosovo U21""]",2026-09-22T21:31:00.964124+00:00
50001451,Greece,FB5595,COHORT_MISMATCH,NOT_RUN,0,"[900.0, 0.0, 0.3333333333333333, ""U21"", ""Kosovo U21"", ""San Marino U21""]",2026-09-22T21:31:00.964124+00:00
50002222,Netherlands,FB5596,COHORT_MISMATCH,NOT_RUN,0,"[900.0, 0.17391304347826086, 0.0, ""U21"", ""San Marino U21"", ""Kosovo U21""]",2026-09-22T21:31:00.964124+00:00
50001357,Germany,FB5596,COHORT_MISMATCH,NOT_RUN,0,"[900.0, 0.0, 0.17391304347826086, ""U21"", ""Kosovo U21"", ""San Marino U21""]",2026-09-22T21:31:00.964124+00:00
50001834,Kosovo,FB5597,COHORT_MISMATCH,NOT_RUN,0,"[900.0, 0.1111111111111111, 0.07692307692307693, ""U21"", ""San Marino U21"", ""Kosovo U21""]",2026-09-22T21:31:00.964124+00:00
50002623,Republic of Ireland,FB5597,COHORT_MISMATCH,NOT_RUN,0,"[900.0, 0.07692307692307693, 0.1111111111111111, ""U21"", ""Kosovo U21"", ""San Marino U21""]",2026-09-22T21:31:00.964124+00:00
50000320,Austria,FB5598,COHORT_MISMATCH,NOT_RUN,0,"[900.0, 0.3157894736842105, 0.13333333333333333, ""U21"", ""San Marino U21"", ""Kosovo U21""]",2026-09-22T21:31:00.964124+00:00
50001650,Israel,FB5598,COHORT_MISMATCH,NOT_RUN,0,"[900.0, 0.13333333333333333, 0.3157894736842105, ""U21"", ""Kosovo U21"", ""San Marino U21""]",2026-09-22T21:31:00.964124+00:00
50002311,O'Higgins,FB5635,EVENT_ABSENT,NOT_RUN,0,,2026-09-22T21:31:00.964124+00:00
50288881,Deportes Santa Cruz,FB5635,EVENT_ABSENT,NOT_RUN,0,,2026-09-22T21:31:00.964124+00:00
