fetched_at_hkt,hkjc_event_id,kickoff_hkt,home_id,away_id,home,away,h2h_games,home_wins,draws,away_wins,home_goals,away_goals,avg_total_goals,last5,meetings_json,source,quality
2026-09-25T09:40:04+08:00,FB5740,2026-09-25T23:30:00+08:00,50000594,50002505,Bulgaria U21,Portugal U21,1,0,0,1,0,3,3.00,A,"[{""source_event_id"":null,""date"":""{'utcTime': '2025-10-10T18:30:00.000Z'}"",""tournament"":""EURO U21 Qualification Grp. B"",""home"":""Portugal U21"",""away"":""Bulgaria U21"",""home_team_id"":""8557"",""away_team_id"":""5849"",""home_goals"":3,""away_goals"":0,""current_home_goals"":0,""current_away_goals"":3,""result"":""A""}]",FOTMOB verified direct H2H,H2H_OK
2026-09-25T09:40:04+08:00,FB5765,2026-09-25T23:30:00+08:00,50001243,50002897,Finland U21,Spain U21,2,0,1,1,2,3,2.50,AD,"[{""source_event_id"":null,""date"":""{'utcTime': '2025-10-14T16:30:00.000Z'}"",""tournament"":""EURO U21 Qualification Grp. A"",""home"":""Spain U21"",""away"":""Finland U21"",""home_team_id"":""8505"",""away_team_id"":""5851"",""home_goals"":2,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":2,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2010-08-11T17:00:00.000Z'}"",""tournament"":""EURO U21 Qualification Grp. A"",""home"":""Finland U21"",""away"":""Spain U21"",""home_team_id"":""5851"",""away_team_id"":""8505"",""home_goals"":1,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":1,""result"":""D""}]",FOTMOB verified direct H2H,H2H_OK
2026-09-25T09:40:04+08:00,FB5715,2026-09-26T00:00:00+08:00,50001354,50002291,Georgia,Northern Ireland,0,0,0,0,0,0,,,[],HKJC accumulated matchResult history,NO_PREVIOUS_H2H_IN_AVAILABLE_HISTORY
2026-09-25T09:40:04+08:00,FB5716,2026-09-26T00:00:00+08:00,50000236,50001873,Armenia,Latvia,5,3,0,2,8,7,3.00,HHAHA,"[{""source_event_id"":null,""date"":""{'utcTime': '2024-11-17T14:00:00.000Z'}"",""tournament"":""UEFA Nations League C Grp. 2"",""home"":""Latvia"",""away"":""Armenia"",""home_team_id"":""5795"",""away_team_id"":""6583"",""home_goals"":1,""away_goals"":2,""current_home_goals"":2,""current_away_goals"":1,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2024-09-07T16:00:00.000Z'}"",""tournament"":""UEFA Nations League C Grp. 2"",""home"":""Armenia"",""away"":""Latvia"",""home_team_id"":""6583"",""away_team_id"":""5795"",""home_goals"":4,""away_goals"":1,""current_home_goals"":4,""current_away_goals"":1,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2023-10-12T16:00:00.000Z'}"",""tournament"":""EURO Qualification Grp. D"",""home"":""Latvia"",""away"":""Armenia"",""home_team_id"":""5795"",""away_team_id"":""6583"",""home_goals"":2,""away_goals"":0,""current_home_goals"":0,""current_away_goals"":2,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2023-06-19T16:00:00.000Z'}"",""tournament"":""EURO Qualification Grp. D"",""home"":""Armenia"",""away"":""Latvia"",""home_team_id"":""6583"",""away_team_id"":""5795"",""home_goals"":2,""away_goals"":1,""current_home_goals"":2,""current_away_goals"":1,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2014-09-03T17:45:00.000Z'}"",""tournament"":""Friendlies"",""home"":""Latvia"",""away"":""Armenia"",""home_team_id"":""5795"",""away_team_id"":""6583"",""home_goals"":2,""away_goals"":0,""current_home_goals"":0,""current_away_goals"":2,""result"":""A""}]",FOTMOB verified direct H2H,H2H_OK
2026-09-25T09:40:04+08:00,FB5723,2026-09-26T00:00:00+08:00,50002859,50002624,Slovakia U21,Republic of Ireland U21,0,0,0,0,0,0,,,[],HKJC accumulated matchResult history,NO_PREVIOUS_H2H_IN_AVAILABLE_HISTORY
2026-09-25T09:40:04+08:00,FB5746,2026-09-26T00:00:00+08:00,50002261,50001993,Nigeria,Madagascar,1,0,0,1,0,2,2.00,A,"[{""source_event_id"":null,""date"":""{'utcTime': '2019-06-30T16:00:00.000Z'}"",""tournament"":""Africa Cup of Nations Grp. B"",""home"":""Madagascar"",""away"":""Nigeria"",""home_team_id"":""5809"",""away_team_id"":""6346"",""home_goals"":2,""away_goals"":0,""current_home_goals"":0,""current_away_goals"":2,""result"":""A""}]",FOTMOB verified direct H2H,H2H_OK
2026-09-25T09:40:04+08:00,FB5761,2026-09-26T00:00:00+08:00,50002004,50002890,Malawi,South Sudan,2,2,0,0,2,0,1.00,HH,"[{""source_event_id"":null,""date"":""{'utcTime': '2021-03-24T13:00:00.000Z'}"",""tournament"":""Africa Cup of Nations Qualification Grp. B"",""home"":""South Sudan"",""away"":""Malawi"",""home_team_id"":""408231"",""away_team_id"":""6020"",""home_goals"":0,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":0,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2019-11-13T13:00:00.000Z'}"",""tournament"":""Africa Cup of Nations Qualification Grp. B"",""home"":""Malawi"",""away"":""South Sudan"",""home_team_id"":""6020"",""away_team_id"":""408231"",""home_goals"":1,""away_goals"":0,""current_home_goals"":1,""current_away_goals"":0,""result"":""H""}]",FOTMOB verified direct H2H,H2H_OK
2026-09-25T09:40:04+08:00,FB5724,2026-09-26T00:30:00+08:00,50002225,50002297,Netherlands U21,Norway U21,5,3,0,2,12,5,3.40,AAHHH,"[{""source_event_id"":null,""date"":""{'utcTime': '2026-03-27T17:00:00.000Z'}"",""tournament"":""EURO U21 Qualification Grp. G"",""home"":""Norway U21"",""away"":""Netherlands U21"",""home_team_id"":""5830"",""away_team_id"":""6635"",""home_goals"":3,""away_goals"":2,""current_home_goals"":2,""current_away_goals"":3,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2024-03-21T19:00:00.000Z'}"",""tournament"":""Friendlies U21"",""home"":""Netherlands U21"",""away"":""Norway U21"",""home_team_id"":""6635"",""away_team_id"":""5830"",""home_goals"":1,""away_goals"":2,""current_home_goals"":1,""current_away_goals"":2,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2023-03-25T17:00:00.000Z'}"",""tournament"":""Friendlies U21"",""home"":""Netherlands U21"",""away"":""Norway U21"",""home_team_id"":""6635"",""away_team_id"":""5830"",""home_goals"":3,""away_goals"":0,""current_home_goals"":3,""current_away_goals"":0,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2020-09-08T18:00:00.000Z'}"",""tournament"":""EURO U21 Qualification Grp. G"",""home"":""Netherlands U21"",""away"":""Norway U21"",""home_team_id"":""6635"",""away_team_id"":""5830"",""home_goals"":2,""away_goals"":0,""current_home_goals"":2,""current_away_goals"":0,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2019-10-15T16:30:00.000Z'}"",""tournament"":""EURO U21 Qualification Grp. G"",""home"":""Norway U21"",""away"":""Netherlands U21"",""home_team_id"":""5830"",""away_team_id"":""6635"",""home_goals"":0,""away_goals"":4,""current_home_goals"":4,""current_away_goals"":0,""result"":""H""}]",FOTMOB verified direct H2H,H2H_OK
2026-09-25T09:40:04+08:00,FB5786,2026-09-26T00:58:00+08:00,50429168,50429165,Independiente Women,Ferro Carril Oeste Women,0,0,0,0,0,0,,,[],HKJC accumulated matchResult history,NO_PREVIOUS_H2H_IN_AVAILABLE_HISTORY
2026-09-25T09:40:04+08:00,FB5756,2026-09-26T01:30:00+08:00,50003022,50001973,Switzerland U21,Luxembourg U21,1,0,0,1,1,2,3.00,A,"[{""source_event_id"":null,""date"":""{'utcTime': '2025-11-18T18:30:00.000Z'}"",""tournament"":""EURO U21 Qualification Grp. C"",""home"":""Luxembourg U21"",""away"":""Switzerland U21"",""home_team_id"":""5832"",""away_team_id"":""5854"",""home_goals"":2,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":2,""result"":""A""}]",FOTMOB verified direct H2H,H2H_OK
