fetched_at_hkt,match_id,hkjc_event_id,kickoff_hkt,status,tournament,home_en,away_en,home_zh,away_zh,pools,had_home,had_draw,had_away,hil_line,hil_over,hil_under,chl_line,chl_over,chl_under,pool_status,in_play,selling,odds_updated_at
2026-09-22T23:08:02+08:00,50075915,FB5572,2026-09-22T06:28+08:00,MATCHVOIDED,BD2,Criciuma,Operario Ferroviario,Criciuma,Operario Ferroviario,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076115,FB5617,2026-09-22T07:00+08:00,INPLAYMATCHENDED,MXLW,Club Leon Women,Juarez Women,Club Leon Women,Juarez Women,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076116,FB5618,2026-09-22T08:00+08:00,INPLAYMATCHENDED,MXLW,Toluca Women,Tigres UANL Women,托盧卡女足,堤格雷斯女足,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075653,FB5507,2026-09-22T08:13+08:00,INPLAYMATCHENDED,APL,Lanus,Estudiantes,拉魯斯,學生隊,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075916,FB5573,2026-09-22T08:28+08:00,INPLAYMATCHENDED,BD2,Cuiaba,Nautico Recife,古亞巴,紐迪高,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076175,FB5583,2026-09-22T08:30+08:00,MATCHENDED,BD1W,Corinthians Women,Bahia Women,哥連泰斯女足,巴希亞女足,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076166,FB5619,2026-09-22T09:06+08:00,INPLAYMATCHENDED,MXLW,Santos Laguna Women,Cruz Azul Women,拿根亞女足,藍十字女足,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075751,FB5575,2026-09-22T13:00+08:00,INPLAYMATCHENDED,AMF,Vietnam AM,Uzbekistan AM,越南男亞足,烏茲別克男亞足,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075752,FB5576,2026-09-22T13:00+08:00,INPLAYMATCHENDED,AMF,Philippines AM,Kuwait AM,菲律賓男亞足,科威特男亞足,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075852,FB5577,2026-09-22T18:00+08:00,INPLAYMATCHENDED,AMF,Korea Republic AM,Saudi Arabia AM,南韓男亞足,沙特阿拉伯男亞足,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076365,FB5643,2026-09-22T21:00+08:00,MATCHSUSPENDED,INT,Mozambique U20,Mauritius U20,Mozambique U20,Mauritius U20,,,,,,,,,,,,0,0,
