fetched_at_utc,hkjc_event_id,kickoff_hkt,home_id,away_id,home,away,sofascore_event_id,sofascore_home_id,sofascore_away_id,sofascore_home,sofascore_away,sofascore_tournament,kickoff_delta_seconds,mapping_status,mapping_reason,h2h_games,home_wins,draws,away_wins,home_goals,away_goals,avg_total_goals,last5,meetings_json,source,quality
2026-09-24T15:43:34+00:00,FB5667,2026-09-25T14:00:00+08:00,50000765,50003314,China Women,Vietnam Women,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5785,2026-09-25T17:00:00+08:00,50000361,50002005,Bangladesh,Malaysia,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5719,2026-09-25T18:00:00+08:00,50000299,50000524,Australia,Brazil,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5668,2026-09-25T18:30:00+08:00,50001689,50002456,Japan Women,Philippines Women,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5669,2026-09-25T18:30:00+08:00,50001814,50264497,Korea Republic Women,Uzbekistan Women,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5703,2026-09-25T18:30:00+08:00,50001809,50003311,Korea Republic AM,Vietnam AM,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5760,2026-09-25T21:00:00+08:00,50002997,50001133,Sudan,Ethiopia,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5763,2026-09-25T21:00:00+08:00,50003051,50001484,Tanzania,Guinea Bissau,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5791,2026-09-25T21:00:00+08:00,50002183,50002777,Mozambique,Senegal,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5804,2026-09-25T21:00:00+08:00,50001601,50002837,Indonesia,Singapore,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5766,2026-09-25T21:45:00+08:00,50000338,50000919,Azerbaijan U21,Czechia U21,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5787,2026-09-25T22:00:00+08:00,50001598,50002398,India,Panama,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5738,2026-09-25T23:00:00+08:00,50001584,50001272,Iceland U21,France U21,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5757,2026-09-25T23:00:00+08:00,50002260,50001898,Niger,Lesotho,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5740,2026-09-25T23:30:00+08:00,50000594,50002505,Bulgaria U21,Portugal U21,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5765,2026-09-25T23:30:00+08:00,50001243,50002897,Finland U21,Spain U21,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5715,2026-09-26T00:00:00+08:00,50001354,50002291,Georgia,Northern Ireland,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5716,2026-09-26T00:00:00+08:00,50000236,50001873,Armenia,Latvia,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5723,2026-09-26T00:00:00+08:00,50002859,50002624,Slovakia U21,Republic of Ireland U21,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5746,2026-09-26T00:00:00+08:00,50002261,50001993,Nigeria,Madagascar,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5761,2026-09-26T00:00:00+08:00,50002004,50002890,Malawi,South Sudan,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5724,2026-09-26T00:30:00+08:00,50002225,50002297,Netherlands U21,Norway U21,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5786,2026-09-26T00:58:00+08:00,50429168,50429165,Independiente Women,Ferro Carril Oeste Women,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5756,2026-09-26T01:30:00+08:00,50003022,50001973,Switzerland U21,Luxembourg U21,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5708,2026-09-26T02:30:00+08:00,50001424,50000121,Girona,Albacete,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5710,2026-09-26T02:45:00+08:00,50001655,50000438,Italy,Belgium,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5711,2026-09-26T02:45:00+08:00,50002150,50000915,Montenegro,Cyprus,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5712,2026-09-26T02:45:00+08:00,50003010,50002649,Sweden,Romania,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5713,2026-09-26T02:45:00+08:00,50002470,50000498,Poland,Bosnia-Herzegovina,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5714,2026-09-26T02:45:00+08:00,50001573,50003185,Hungary,Ukraine,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5717,2026-09-26T02:45:00+08:00,50003142,50001268,Turkiye,France,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5709,2026-09-26T03:00:00+08:00,50001004,50000155,Dordrecht,Almere City,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5758,2026-09-26T03:00:00+08:00,50001051,50000180,Egypt,Angola,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5759,2026-09-26T03:00:00+08:00,50002012,50000673,Mali,Cape Verde Islands,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
