DATE,TIME,LEAGUE,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,1X PER,12 PER,X2 PER,OVER 1.5,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,SOURCE_URL,SOURCE_DATE,SOURCE_TIME,TIMEZONE,HOME_AWAY_EXPLICIT
20/09/2026,10:15,,Feyenoord,FC Utrecht,77,15,8,92,85,23,76,25,75,61,39,BCL,https://www.betclan.com/predictionsdetails/football/200552122/feyenoord-v-fc-utrecht-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 11:15,11:15,Europe/London,1
20/09/2026,10:30,,Fiorentina,Napoli,28,27,45,55,73,72,74,45,55,59,41,BCL,https://www.betclan.com/predictionsdetails/football/200553996/fiorentina-v-napoli-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 11:30,11:30,Europe/London,1
20/09/2026,11:00,,Celtic,Rangers,46,24,30,70,76,54,84,35,65,69,31,BCL,https://www.betclan.com/predictionsdetails/football/200649301/celtic-v-rangers-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 12:00,12:00,Europe/London,1
20/09/2026,11:00,,Chonburi FC,Buriram United,15,20,65,35,80,85,74,37,63,59,41,BCL,https://www.betclan.com/predictionsdetails/football/1598032/chonburi-fc-v-buriram-united-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 12:00,12:00,Europe/London,1
20/09/2026,11:00,,Rayong FC,Ratchaburi,25,23,52,48,77,75,74,43,57,59,41,BCL,https://www.betclan.com/predictionsdetails/football/1598033/rayong-fc-v-ratchaburi-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 12:00,12:00,Europe/London,1
20/09/2026,11:30,,Antwerp,Union Saint Gilloise,17,21,62,38,79,83,70,43,57,55,45,BCL,https://www.betclan.com/predictionsdetails/football/200499964/antwerp-v-union-saint-gilloise-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 12:30,12:30,Europe/London,1
20/09/2026,11:30,,Arminia Bielefeld,Heidenheim,47,24,29,71,76,53,81,37,63,66,34,BCL,https://www.betclan.com/predictionsdetails/football/200551066/arminia-bielefeld-v-heidenheim-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 12:30,12:30,Europe/London,1
20/09/2026,11:30,,Cottbus,St Pauli,30,23,47,53,77,70,86,29,71,71,29,BCL,https://www.betclan.com/predictionsdetails/football/200551076/cottbus-v-st-pauli-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 12:30,12:30,Europe/London,1
20/09/2026,11:30,,Hannover 96,Bochum,55,22,23,77,78,45,84,33,67,69,31,BCL,https://www.betclan.com/predictionsdetails/football/200551078/hannover-96-v-bochum-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 12:30,12:30,Europe/London,1
20/09/2026,11:30,,Sukhothai FC,Port FC,16,19,65,35,81,84,70,42,58,55,45,BCL,https://www.betclan.com/predictionsdetails/football/1598034/sukhothai-fc-v-port-fc-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 12:30,12:30,Europe/London,1
20/09/2026,12:00,,Djurgarden,Elfsborg,65,21,14,86,79,35,73,40,60,58,42,BCL,https://www.betclan.com/predictionsdetails/football/200659984/djurgarden-v-elfsborg-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 13:00,13:00,Europe/London,1
20/09/2026,12:00,,FC Vaduz,FC Thun,25,39,36,64,61,75,88,27,73,73,27,BCL,https://www.betclan.com/predictionsdetails/football/200660343/fc-vaduz-v-fc-thun-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 13:00,13:00,Europe/London,1
20/09/2026,12:00,,Getafe,Malaga,50,30,20,80,70,50,52,69,31,37,63,BCL,https://www.betclan.com/predictionsdetails/football/200657793/getafe-v-malaga-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 13:00,13:00,Europe/London,1
20/09/2026,12:00,,Halmstad,AIK,28,24,48,52,76,72,78,40,60,63,37,BCL,https://www.betclan.com/predictionsdetails/football/200865652/halmstad-v-aik-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 13:00,13:00,Europe/London,1
20/09/2026,12:00,,Kalmar FF,BK Hacken,33,25,42,58,75,67,76,43,57,61,39,BCL,https://www.betclan.com/predictionsdetails/football/200659988/kalmar-ff-v-bk-hacken-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 13:00,13:00,Europe/London,1
20/09/2026,12:00,,Sabadell,Real Oviedo,43,31,26,74,69,57,52,71,29,37,63,BCL,https://www.betclan.com/predictionsdetails/football/200658716/sabadell-v-real-oviedo-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 13:00,13:00,Europe/London,1
20/09/2026,12:00,,Sonderjyske,Randers FC,34,25,41,59,75,66,78,42,58,63,37,BCL,https://www.betclan.com/predictionsdetails/football/200543617/sonderjyske-v-randers-fc-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 13:00,13:00,Europe/London,1
20/09/2026,12:30,,AZ,Telstar,80,13,7,93,87,20,78,23,77,63,37,BCL,https://www.betclan.com/predictionsdetails/football/200552124/az-v-telstar-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 13:30,13:30,Europe/London,1
20/09/2026,12:30,,FC Twente,PSV,32,23,45,55,77,68,92,23,77,77,23,BCL,https://www.betclan.com/predictionsdetails/football/200552149/fc-twente-v-psv-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 13:30,13:30,Europe/London,1
20/09/2026,12:30,,Hartberg,LASK Linz,6,14,80,20,86,94,68,33,67,53,47,BCL,https://www.betclan.com/predictionsdetails/football/200498390/hartberg-v-lask-linz-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 13:30,13:30,Europe/London,1
20/09/2026,12:30,,Norwich,Bolton,68,18,14,86,82,32,76,35,65,61,39,BCL,https://www.betclan.com/predictionsdetails/football/200545577/norwich-v-bolton-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 13:30,13:30,Europe/London,1
20/09/2026,12:30,,Stallion Laguna FC,Manila Digger FC,9,13,78,22,87,91,77,37,63,62,38,BCL,https://www.betclan.com/predictionsdetails/football/201376812/stallion-laguna-fc-v-manila-digger-fc-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 13:30,13:30,Europe/London,1
20/09/2026,12:30,,Valerenga,Fredrikstad,52,24,24,76,76,48,81,35,65,66,34,BCL,https://www.betclan.com/predictionsdetails/football/200608151/valerenga-v-fredrikstad-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 13:30,13:30,Europe/London,1
20/09/2026,13:00,,Auxerre,Brest,33,27,40,60,73,67,76,45,55,61,39,BCL,https://www.betclan.com/predictionsdetails/football/200549166/auxerre-v-brest-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 14:00,14:00,Europe/London,1
20/09/2026,13:00,,Bournemouth,Liverpool,30,24,46,54,76,70,84,34,66,69,31,BCL,https://www.betclan.com/predictionsdetails/football/200549676/bournemouth-v-liverpool-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 14:00,14:00,Europe/London,1
20/09/2026,13:00,,Frosinone,Como,14,20,66,34,80,86,78,31,69,63,37,BCL,https://www.betclan.com/predictionsdetails/football/200553998/frosinone-v-como-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 14:00,14:00,Europe/London,1
20/09/2026,13:00,,Leeds,Crystal Palace,57,24,19,81,76,43,73,43,57,58,42,BCL,https://www.betclan.com/predictionsdetails/football/200549663/leeds-v-crystal-palace-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 14:00,14:00,Europe/London,1
20/09/2026,13:00,,Man City,Sunderland,76,16,8,92,84,24,60,37,63,45,55,BCL,https://www.betclan.com/predictionsdetails/football/200549680/man-city-v-sunderland-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 14:00,14:00,Europe/London,1
